slug consuntivo competenza,slug consuntivo cassa,slug preventivo,slug old,titolo,descrizione
consuntivo-entrate-accertamenti,consuntivo-entrate-cassa,preventivo-entrate,entrate,Somma di tutte le entrate del comune,DA FARE *********************
consuntivo-entrate-accertamenti-entrate-extratributarie-interessi-su-anticipazioni-o-crediti,consuntivo-entrate-cassa-entrate-extratributarie-interessi-su-anticipazioni-o-crediti,preventivo-entrate-entrate-extratributarie-interessi-su-anticipazioni-o-crediti,interessi-su-anticipazioni-o-crediti,Interessi su anticipazioni o crediti,"<p>Interessi attivi che il Comune riceve da enti terzi ai quali ha anticipato, o ha concesso di pagare in ritardo somme a titolo di credito <a title=""interessi su anticipazioni e crediti"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Interessi_su_anticipazioni_e_crediti"" target=""_blank"">(Tit. III - Cat. 3 - Interessi su anticipazioni e crediti)</a></p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-proventi-di-beni-dellente,consuntivo-entrate-cassa-entrate-extratributarie-proventi-di-beni-dellente,preventivo-entrate-entrate-extratributarie-proventi-di-beni-dellente,proventi-di-beni-dellente,Proventi di beni dell'ente,"<p>Proventi realizzati con l'affitto o la concessione di immobili e spazi comunali <a title=""proventi di beni dell'ente"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Proventi_di_beni_dell.27ente"" target=""_blank"">(Tit. III - Cat. 2 - Proventi di beni dell'ente)</a></p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-proventi-di-beni-dellente-altri-proventi,consuntivo-entrate-cassa-entrate-extratributarie-proventi-di-beni-dellente-altri-proventi,,proventi-di-beni-dellente,Altri proventi di beni dell'ente,"<p>Proventi realizzati con l'affitto o la concessione di immobili e spazi comunali <a title=""proventi di beni dell'ente"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Proventi_di_beni_dell.27ente"" target=""_blank"">(Tit. III - Cat. 2 - Proventi di beni dell'ente)</a></p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-proventi-di-beni-dellente-canone-occupazione-spazi-e-aree-pubbliche,consuntivo-entrate-cassa-entrate-extratributarie-proventi-di-beni-dellente-canone-occupazione-spazi-e-aree-pubbliche,,proventi-di-beni-dellente,Canoni da aree comunali,"<p>Proventi realizzati con l'affitto di spazi e aree comunali<a title=""proventi di beni dell'ente"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Proventi_di_beni_dell.27ente"" target=""_blank"">(Tit. III - Cat. 2 - Proventi di beni dell'ente)</a></p>"
consuntivo-entrate-accertamenti-vendite-e-trasferimenti-di-capitali-trasferimenti-di-capitali-da-privati-permessi-di-costruire-e-sanzioni,consuntivo-entrate-cassa-vendite-e-trasferimenti-di-capitali-trasferimenti-di-capitali-da-privati-permessi-di-costruire-e-sanzioni,,permessi-di-costruire,Permessi di costruire,"<p>Sono tutti i pagamenti che i cittadini e le imprese di costruzione versano per ottenere l'autorizzare a costruire o a modificare in maniera sostanziale un edificio e le relative sanzioni. <a title=""Trasferimenti di capitali da altri soggetti"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Trasferimenti_di_capitali_da_altri_soggetti"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-entrate-accertamenti-vendite-e-trasferimenti-di-capitali-trasferimenti-di-capitali-da-privati-trasferimenti-di-capitali-altro,consuntivo-entrate-cassa-vendite-e-trasferimenti-di-capitali-trasferimenti-di-capitali-da-privati-trasferimenti-di-capitali-altro,,trasferimenti-di-capitali-altro,Altri trasferimenti di capitali ,"<p>Somma di trasferimenti straordinari di capitali, di redita&agrave e donazioni da famiglie e imprese.</p>"
consuntivo-spese-impegni-spese-somma-funzioni-amministrazione-organi-istituzionali,consuntivo-spese-cassa-spese-somma-funzioni-amministrazione-organi-istituzionali,,organi-istituzionali,Organi istituzionali,"<p>Spese per il funzionamento degli organi istituzionali, come Consiglio comunale e Giunta, incluse indennit&agrave; e gettoni di presenza per i consiglieri. <a title=""Organi istituzionali"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_generali_di_amministrazione.2C_gestione_e_controllo"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-istruzione-istruzione-elementare,consuntivo-spese-cassa-spese-somma-funzioni-istruzione-istruzione-elementare,,istruzione-elementare,Istruzione elementare,"<p>Spese per le scuole elementari presenti sul territorio, inclusi la manutenzione dei locali, se di propriet&agrave;. <a title=""Istruzione"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_di_istruzione_pubblica"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-istruzione-istruzione-media,consuntivo-spese-cassa-spese-somma-funzioni-istruzione-istruzione-media,,istruzione-media,Istruzione media,"<p>Spese per le scuole medie presenti sul territorio, inclusi l'organizzazione di manifestazioni e tornei locali, o la manutenzione dei locali scolastici, se di proprietà. <a title=""Istruzione"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_di_istruzione_pubblica"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-istruzione-istruzione-secondaria-superiore,consuntivo-spese-cassa-spese-somma-funzioni-istruzione-istruzione-secondaria-superiore,,secondaria-superiore,Istruzione secondaria superiore,"<p>Spese per le scuole di istruzione secondaria superiore, inclusi l'organizzazione di manifestazioni, o la manutenzione dei locali scolastici, se di propriet&agrave;. <a title=""Istruzione"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_di_istruzione_pubblica"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-istruzione-scuola-materna,consuntivo-spese-cassa-spese-somma-funzioni-istruzione-scuola-materna,,scuola-materna,Scuola materna,"<p>Spese per le scuole materne, incluso l'acquisto di nuove infrastrutture per il miglioramento del servizio. <a title=""Istruzione"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_di_istruzione_pubblica"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-servizi-produttivi,consuntivo-spese-cassa-spese-somma-funzioni-servizi-produttivi,preventivo-spese-spese-somma-funzioni-servizi-produttivi,servizi-produttivi,Servizi produttivi,"<p>Spese per alcuni servizi di produzione offerti dall'ente: distribuzione di gas ed energia, centrali del latte, farmacie comunali, ecc. <a title=""Sviluppo economico"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_campo_dello_sviluppo_economico"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-sociale-prevenzione-e-riabilitazione,consuntivo-spese-cassa-spese-somma-funzioni-sociale-prevenzione-e-riabilitazione,,prevenzione-e-riabilitazione,Prevenzione e riabilitazione,"<p>Spesa per servizi di prevenzione e riabilitazione sul territorio (Servizi di prevenzione e riabilitazione). <a title=""Prevenzione e riabilitazione"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_settore_sociale"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-sociale-residenze-per-anziani,consuntivo-spese-cassa-spese-somma-funzioni-sociale-residenze-per-anziani,,residenze-per-anziani,Residenze per anziani,"<p>Spese per strutture residenziali e di ricovero per gli anziani residenti. <a title=""Residenze per anziani"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_settore_sociale"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-sport-piscine-comunali,consuntivo-spese-cassa-spese-somma-funzioni-sport-piscine-comunali,,piscine-comunali,Piscine comunali,"<p>Spese per la manutenzione o  costruzione della piscina comunale, inclusi costi di funzionamento ordinario e di manutenzione straordinaria. <a title=""Sport"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_settore_sportivo_e_ricreativo"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-sport-stadio-e-altri-impianti,consuntivo-spese-cassa-spese-somma-funzioni-sport-stadio-e-altri-impianti,,stadio-e-altri-impianti,Stadio e altri impianti,"<p>Spese per la manutenzione o la costruzione degli impianti sportivi comunali, inclusi i costi di funzionamento ordinario e gli interventi di manutenzione straordinaria. <a title=""Sport"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_settore_sportivo_e_ricreativo"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-sviluppo-economico,consuntivo-spese-cassa-spese-somma-funzioni-sviluppo-economico,preventivo-spese-spese-somma-funzioni-sviluppo-economico,sviluppo-economico,Sviluppo economico,"<p>Spese per lo sviluppo economico locale, incluse spese per affissioni o pubblicit&agrave; e organizzazione di manifestazioni. <a title=""Sviluppo economico"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_campo_dello_sviluppo_economico"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-territorio-e-ambiente-parchi,consuntivo-spese-cassa-spese-somma-funzioni-territorio-e-ambiente-parchi,,parchi,Parchi,"<p>Spese per la manutenzione del verde: giardinieri, installazione di arredo urbano (es. parco giochi per i bambini). <a title=""Parchi"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_riguardanti_la_gestione_del_territorio_e_dell.27ambiente"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-territorio-e-ambiente-protezione-civile,consuntivo-spese-cassa-spese-somma-funzioni-territorio-e-ambiente-protezione-civile,,protezione-civile,Protezione civile,"<p>Spesa per il sostegno dei gruppi di protezione civile, inclusa l'eventuale costruzione o affitto di locali. <a title=""Protezione Civile"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_riguardanti_la_gestione_del_territorio_e_dell.27ambiente"" target=""_blank"">Vai al Glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-territorio-e-ambiente-rifiuti,consuntivo-spese-cassa-spese-somma-funzioni-territorio-e-ambiente-rifiuti,,funzioni-rifiuti,Rifiuti,"<p>Spese per la raccolta rifuti, manutenzione degli impianti per la raccolta e lo smaltimento. <a title=""Rifiuti"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_riguardanti_la_gestione_del_territorio_e_dell.27ambiente"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-territorio-e-ambiente-servizio-idrico,consuntivo-spese-cassa-spese-somma-funzioni-territorio-e-ambiente-servizio-idrico,,servizio-idrico,Servizio idrico,"<p>Spese per la gestione del servizio idrico: acquedotti, impianti di erogazione e tubature. <a title=""Servizio idrico"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_riguardanti_la_gestione_del_territorio_e_dell.27ambiente"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-territorio-e-ambiente-urbanistica-e-territorio,consuntivo-spese-cassa-spese-somma-funzioni-territorio-e-ambiente-urbanistica-e-territorio,,urbanistica-e-territorio,Urbanistica e territorio,"<p>Spese per gli uffici per l'urbanistica e il governo del territorio. <a title=""Urbanistica e territorio"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_riguardanti_la_gestione_del_territorio_e_dell.27ambiente"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-viabilita-e-trasporti-trasporti-pubblici,consuntivo-spese-cassa-spese-somma-funzioni-viabilita-e-trasporti-trasporti-pubblici,,trasporti-pubblici,Trasporti pubblici,"Spese per il trasporto pubblico locale, se non gestito da societ&agrave; esterne, speciali o partecipate. Incluso personale, e acquisto di mezzi. <a title=""Viabilit&agrave; e Trasporti"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_campo_della_viabilit.C3.A0_e_dei_trasporti"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-viabilita-e-trasporti-viabilita,consuntivo-spese-cassa-spese-somma-funzioni-viabilita-e-trasporti-viabilita,,viabilita,Viabilità,"<p>Spese destinate alla manutenzione della viabilit&agrave; stradale, al ridisegno delle strade, alla costruzione di infrastrutture, installazione arredo urbano.<a title=""Viabilit&agrave; e Trasporti"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_campo_della_viabilit.C3.A0_e_dei_trasporti"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-prestiti,consuntivo-spese-cassa-prestiti,preventivo-spese-prestiti,spese-prestiti,Prestiti,"<p>Spese per il rimborso di prestiti: anticipazioni di cassa, finanziamenti a breve termine, pluriennali, mutui, prestiti obbligazionari <a title=""entrate derivanti da accensione di prestiti"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_derivanti_da_accensione_di_prestiti"" target=""_blank"">(Tit. V - Entrate derivanti da accensioni di prestiti)</a></p>"
consuntivo-spese-impegni-spese-per-conto-terzi,consuntivo-spese-cassa-spese-per-conto-terzi,preventivo-spese-spese-per-conto-terzi,spese-per-conto-terzi,Spese per conto terzi,"<p>Principalmente si tratta del versamento delle ritenute effettuate sugli stipendi dei dipendenti quale sostituto d'imposta. Sono una partita di giro, tanto entra (entrate per conto terzi) e tanto esce nel bilancio. <a title=""entrate da servizi per conto terzi"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_da_servizi_per_conto_terzi"" target=""_blank"">(Tit. VI - Entrate da servizi per conto terzi)</a></p>"
consuntivo-spese-impegni-spese-correnti-interventi,consuntivo-spese-cassa-spese-correnti-interventi,preventivo-spese-spese-correnti-interventi,interventi,interventi,"<p>E' il pi&ugrave; piccolo livello di dettaglio in cui si suddivide la spesa comunale. Indica il motivo per il quale il Comune ha speso una determinata somma di denaro. Può trattarsi di spesa per il personale, per prestazioni di soggetti esterni, per il finanziamento di altri soggetti, per l'acquisto di materiale. <a title=""Intervento"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Intervento"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-correnti-interventi-interessi-passivi-e-oneri-finanziari-diversi,consuntivo-spese-cassa-spese-correnti-interventi-interessi-passivi-e-oneri-finanziari-diversi,preventivo-spese-spese-correnti-interventi-interessi-passivi-e-oneri-finanziari-diversi,interessi-passivi-e-oneri-finanziari-diversi,Interessi passivi e oneri finanziari diversi,"<p>Spesa per gli interessi sui mutui accessi negli anni, inclusi quelli su prestiti obbligazionari emessi. <a title=""Interessi passivi e onieri finanziari"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Interessi_passivi_e_oneri_finanziari"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-correnti-interventi-personale,consuntivo-spese-cassa-spese-correnti-interventi-personale,preventivo-spese-spese-correnti-interventi-personale,personale,Personale,"<p>La spesa per i dipendenti comunali, inclusi i contributi previdenziali. <a title=""Personale"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Personale"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-correnti-interventi-prestazioni-di-servizi,consuntivo-spese-cassa-spese-correnti-interventi-prestazioni-di-servizi,preventivo-spese-spese-correnti-interventi-prestazioni-di-servizi,prestazioni-di-servizi,Prestazioni di servizi,"<p>Spese per prestazioni di servizi da soggetti terzi, servizi acquistati da soggetti diversi da dipendenti comunali (es. liberi professionisti) o da societ&agrave; esterne. <a title=""Prestazioni di servizi"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Prestazioni_di_servizi"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-per-investimenti-interventi,consuntivo-spese-cassa-spese-per-investimenti-interventi,preventivo-spese-spese-per-investimenti-interventi,interventi,interventi,"<p>E' il pi&ugrave; piccolo livello di dettaglio in cui si suddivide la spesa comunale. Indica il motivo per il quale il Comune ha speso una determinata somma di denaro. Può trattarsi di spesa per il personale, per prestazioni di soggetti esterni, per il finanziamento di altri soggetti, per l'acquisto di materiale. <a title=""Intervento"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Intervento"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-per-investimenti-interventi-incarichi-professionali-esterni,consuntivo-spese-cassa-spese-per-investimenti-interventi-incarichi-professionali-esterni,preventivo-spese-spese-per-investimenti-interventi-incarichi-professionali-esterni,incarichi-professionali-esterni,Incarichi professionali esterni,"<p>Spese per il pagamento di professionisti esterni all'ente comunale, per lo svolgimento di attivit&agrave; necessarie all'ente, per le quali non ci sono competenze interne adeguate (caso di compiti molto specializzati). <a title=""Incarichi professionali esterni"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Incarichi_professionali_esterni"" target=""_blank"">Vai al glossario</a></p> "
consuntivo-spese-impegni-spese-per-investimenti-interventi-partecipazioni-azionarie,consuntivo-spese-cassa-spese-per-investimenti-interventi-partecipazioni-azionarie,preventivo-spese-spese-per-investimenti-interventi-partecipazioni-azionarie,partecipazioni-azionarie,Partecipazioni azionarie,"<p>Spese per investimenti finanziari, come l'acquisto di azioni in altre societ&agrave;, solitamente, per periodi di tempo piuttosto lunghi.<a title=""Partecipazioni azionarie"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Partecipazioni_azionarie"" target=""_blank"">Vai al glossario</a></p>"